url_length,dot_count,hyphen_count,has_at,uses_https,digit_count,special_char_count,keyword_count,has_ip,is_shortened,domain_length,domain_dot_count,subdomain_count,path_length,query_length,query_parameter_count,suspicious_tld,domain_letter_count,digit_ratio,vowel_count,consonant_count,unique_char_count,domain_entropy,label
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,3,9,10,3.182005814760214,1
40,3,0,0,1,0,5,0,0,0,10,1,0,1,20,1,0,9,0.0,1,8,8,2.9219280948873623,1
52,6,0,0,1,0,5,0,0,1,19,1,0,1,23,1,0,18,0.0,6,12,13,3.5766176449086657,1
43,3,0,0,1,0,5,0,0,1,13,1,0,1,20,1,0,12,0.0,4,8,10,3.238901256602631,1
40,2,0,0,1,0,5,0,0,0,26,2,1,6,0,0,0,24,0.0,8,16,16,3.8731406795131327,1
37,1,0,0,1,0,6,0,0,0,15,1,0,14,0,0,0,14,0.0,4,10,14,3.773557262275185,1
20,1,0,0,1,0,4,0,0,0,11,1,0,1,0,0,1,10,0.0,2,8,9,3.0957952550009344,1
28,2,0,0,1,0,4,0,0,0,19,2,1,1,0,0,0,17,0.0,4,13,13,3.536886723742167,1
29,2,1,0,1,0,4,0,0,0,20,2,1,1,0,0,1,17,0.0,7,10,13,3.5841837197791886,1
22,1,0,0,1,0,4,0,0,0,13,1,0,1,0,0,0,12,0.0,3,9,11,3.3927474104487847,1
37,2,1,0,1,0,4,0,0,0,28,2,1,1,0,0,1,25,0.0,8,17,15,3.797902689682947,1
25,2,0,0,1,0,4,0,0,0,16,2,1,1,0,0,1,14,0.0,4,10,10,3.202819531114783,1
28,2,1,0,1,0,4,0,0,0,19,2,1,1,0,0,0,16,0.0,5,11,12,3.431623565847431,1
73,4,1,0,1,0,7,0,0,0,27,1,0,38,0,0,0,26,0.0,9,17,17,3.8841550945958048,1
71,4,1,0,1,2,10,0,0,0,9,1,0,54,0,0,0,6,0.2222222222222222,1,5,7,2.725480556997868,1
49,5,1,0,1,0,5,0,0,0,24,2,1,17,0,0,0,21,0.0,7,14,12,3.3716535224393334,1
73,4,1,0,1,2,8,0,0,0,27,1,0,38,0,0,0,26,0.07407407407407407,9,17,17,3.8841550945958048,1
73,5,0,0,1,22,6,0,0,0,15,2,1,50,0,0,0,13,1.4666666666666666,4,9,10,3.240223928941852,1
26,1,2,0,1,0,4,0,0,0,17,1,0,1,0,0,0,14,0.0,2,12,10,3.175123135113461,1
20,1,0,0,1,0,4,0,0,0,11,1,0,1,0,0,1,10,0.0,4,6,8,2.9139770731827523,1
31,1,0,0,1,0,4,0,0,0,22,1,0,1,0,0,0,21,0.0,6,15,13,3.5726236638951634,1
25,2,0,0,1,0,4,0,0,0,16,2,1,1,0,0,0,14,0.0,5,9,11,3.375,1
52,5,2,0,1,0,4,0,0,0,40,2,1,4,0,0,0,36,0.0,14,22,19,4.003055907333275,1
25,2,0,0,1,0,4,0,0,0,16,2,1,1,0,0,1,14,0.0,3,11,11,3.327819531114783,1
28,2,1,0,1,0,4,0,0,0,19,2,1,1,0,0,0,16,0.0,4,12,11,3.3263604079526936,1
32,1,2,0,1,0,4,0,0,0,23,1,0,1,0,0,0,20,0.0,5,15,15,3.7622673906514947,1
32,1,2,0,1,0,4,0,0,0,23,1,0,1,0,0,0,20,0.0,5,15,16,3.8820451081368628,1
32,1,2,0,1,0,4,0,0,0,23,1,0,1,0,0,0,20,0.0,5,15,15,3.7950885863977324,1
32,1,2,0,1,0,4,0,0,1,23,1,0,1,0,0,0,20,0.0,6,14,16,3.8820451081368628,1
26,1,1,0,1,0,4,0,0,1,17,1,0,1,0,0,0,15,0.0,4,11,14,3.734521664779752,1
29,1,2,0,1,0,4,0,0,0,20,1,0,1,0,0,1,17,0.0,5,12,13,3.5841837197791886,1
29,1,2,0,1,0,4,0,0,0,20,1,0,1,0,0,1,17,0.0,4,13,13,3.5219280948873624,1
29,1,2,0,1,0,4,0,0,0,20,1,0,1,0,0,0,17,0.0,5,12,14,3.6841837197791887,1
29,1,2,0,1,0,4,0,0,0,20,1,0,1,0,0,0,17,0.0,5,12,15,3.821928094887362,1
29,1,2,0,1,0,4,0,0,0,20,1,0,1,0,0,0,17,0.0,5,12,15,3.821928094887362,1
36,2,1,0,1,0,4,0,0,0,14,1,0,14,0,0,0,12,0.0,5,7,12,3.521640636343319,1
36,2,1,0,1,0,4,0,0,0,14,1,0,14,0,0,0,12,0.0,5,7,13,3.6644977792004623,1
19,1,0,0,1,0,4,0,0,0,10,1,0,1,0,0,1,9,0.0,1,8,9,3.121928094887362,1
19,1,0,0,1,0,4,0,0,0,10,1,0,1,0,0,1,9,0.0,0,9,8,2.9219280948873623,1
22,2,0,0,1,0,3,0,0,0,14,2,1,0,0,0,0,12,0.0,4,8,9,3.039148671903071,1
21,2,0,0,1,0,3,0,0,0,13,2,1,0,0,0,0,11,0.0,3,8,11,3.3927474104487847,1
21,2,0,0,1,0,3,0,0,0,13,2,1,0,0,0,0,11,0.0,3,8,10,3.238901256602631,1
22,2,0,0,1,0,3,0,0,0,14,2,1,0,0,0,0,12,0.0,1,11,11,3.3248629576173565,1
31,3,0,0,1,1,4,0,0,0,12,2,1,11,0,0,0,9,0.08333333333333333,4,5,9,3.0849625007211565,1
31,1,0,0,1,0,9,0,0,0,17,1,0,6,0,0,0,16,0.0,6,10,12,3.4548223999466066,1
31,1,0,0,1,0,4,0,0,0,22,1,0,1,0,0,0,21,0.0,6,15,16,3.9139770731827506,1
66,5,1,0,1,0,8,1,0,0,27,1,0,27,3,1,0,25,0.0,8,17,17,3.9121138909722304,1
26,2,0,0,1,0,3,0,0,0,18,2,1,0,0,0,0,16,0.0,7,9,13,3.572431251322119,1
23,2,1,0,1,0,3,0,0,0,15,2,1,0,0,0,0,12,0.0,4,8,11,3.3735572622751855,1
35,2,0,0,1,1,6,0,0,0,15,2,1,12,0,0,0,13,0.06666666666666667,5,8,11,3.3735572622751855,1
27,1,1,0,0,0,4,1,0,0,19,1,0,1,0,0,0,17,0.0,6,11,13,3.5766176449086657,1
60,7,1,0,1,0,6,0,0,0,18,3,2,34,0,0,0,15,0.0,4,11,12,3.4193819456463714,1
67,6,1,0,1,3,5,0,0,0,27,1,0,32,0,0,0,26,0.1111111111111111,10,16,18,4.014146761422729,1
65,6,1,0,1,3,5,0,0,0,25,1,0,32,0,0,0,24,0.12,10,14,14,3.673269689515108,1
41,3,0,0,1,0,5,0,0,0,22,2,1,11,0,0,0,20,0.0,7,13,17,3.9705730958116843,1
36,2,0,0,1,9,3,0,0,0,28,2,1,0,0,0,0,17,0.32142857142857145,8,9,17,3.838804369244613,1
73,5,2,0,1,7,6,0,0,0,41,2,1,24,0,0,0,32,0.17073170731707318,13,19,22,4.1923218214274165,1
66,6,1,0,0,3,5,0,0,0,27,1,0,32,0,0,0,26,0.1111111111111111,9,17,17,3.9121138909722295,1
